Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Lauric Acid
Formula,C12H24O2
Molecular Weight (g/mol),200.311
Sample Weight (g),1.0348
Water Temp (deg C),24.30
Room Temp (deg C),22.60
Water Volume (L),2.0
Wire Before (g),0.028
Wire After (g),0.024
=====,=====
Time (s),Temperature (C)
0.00,24.30
30.00,24.30
60.00,24.29
90.00,24.30
120.00,24.28
150.00,24.30
180.00,24.30
210.00,24.29
240.00,24.31
270.00,24.28
300.00,24.28
330.00,25.05
360.00,26.20
390.00,27.04
420.00,27.56
450.00,27.84
480.00,28.00
510.00,28.06
540.00,28.12
570.00,28.14
600.00,28.13
630.00,28.12
660.00,28.15
690.00,28.14
720.00,28.12
750.00,28.12
780.00,28.11
810.00,28.13
840.00,28.10
870.00,28.12
900.00,28.10
930.00,28.11
960.00,28.11
