Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),0.9640
Water Temp (deg C),24.40
Room Temp (deg C),24.14
Water Volume (L),2.0
Wire Before (g),0.027
Wire After (g),0.020
=====,=====
Time (s),Temperature (C)
0.00,24.40
30.00,24.39
60.00,24.39
90.00,24.42
120.00,24.39
150.00,24.39
180.00,24.41
210.00,24.40
240.00,24.38
270.00,24.39
300.00,24.39
330.00,24.92
360.00,25.66
390.00,26.25
420.00,26.56
450.00,26.78
480.00,26.86
510.00,26.94
540.00,26.95
570.00,26.98
600.00,26.96
630.00,26.96
660.00,26.99
690.00,26.95
720.00,26.98
750.00,26.96
780.00,26.95
810.00,26.98
840.00,26.98
870.00,26.97
900.00,26.97
930.00,26.94
960.00,26.96
