Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,α-D-Galactose
Formula,C6H12O6
Molecular Weight (g/mol),180.126
Sample Weight (g),0.9138
Water Temp (deg C),24.40
Room Temp (deg C),25.31
Water Volume (L),2.0
Wire Before (g),0.022
Wire After (g),0.015
=====,=====
Time (s),Temperature (C)
0.00,24.40
30.00,24.41
60.00,24.39
90.00,24.42
120.00,24.41
150.00,24.42
180.00,24.41
210.00,24.41
240.00,24.41
270.00,24.40
300.00,24.42
330.00,24.69
360.00,25.13
390.00,25.45
420.00,25.62
450.00,25.76
480.00,25.81
510.00,25.83
540.00,25.87
570.00,25.87
600.00,25.86
630.00,25.86
660.00,25.86
690.00,25.85
720.00,25.88
750.00,25.86
780.00,25.86
810.00,25.87
840.00,25.89
870.00,25.88
900.00,25.88
930.00,25.85
960.00,25.85
