Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Myristic Acid
Formula,C14H28O2
Molecular Weight (g/mol),228.365
Sample Weight (g),0.9825
Water Temp (deg C),24.40
Room Temp (deg C),25.68
Water Volume (L),2.0
Wire Before (g),0.020
Wire After (g),0.015
=====,=====
Time (s),Temperature (C)
0.00,24.40
30.00,24.40
60.00,24.42
90.00,24.39
120.00,24.40
150.00,24.39
180.00,24.40
210.00,24.41
240.00,24.39
270.00,24.40
300.00,24.40
330.00,25.18
360.00,26.30
390.00,27.09
420.00,27.61
450.00,27.88
480.00,28.04
510.00,28.13
540.00,28.14
570.00,28.17
600.00,28.17
630.00,28.19
660.00,28.19
690.00,28.21
720.00,28.20
750.00,28.18
780.00,28.20
810.00,28.21
840.00,28.19
870.00,28.18
900.00,28.18
930.00,28.20
960.00,28.19
