Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,α-D-Glucose
Formula,C6H12O6
Molecular Weight (g/mol),180.126
Sample Weight (g),1.0262
Water Temp (deg C),24.10
Room Temp (deg C),25.71
Water Volume (L),2.0
Wire Before (g),0.028
Wire After (g),0.024
=====,=====
Time (s),Temperature (C)
0.00,24.10
30.00,24.09
60.00,24.11
90.00,24.10
120.00,24.10
150.00,24.11
180.00,24.12
210.00,24.11
240.00,24.11
270.00,24.12
300.00,24.09
330.00,24.43
360.00,24.90
390.00,25.25
420.00,25.47
450.00,25.59
480.00,25.67
510.00,25.72
540.00,25.71
570.00,25.73
600.00,25.73
630.00,25.73
660.00,25.73
690.00,25.74
720.00,25.73
750.00,25.73
780.00,25.74
810.00,25.73
840.00,25.73
870.00,25.76
900.00,25.74
930.00,25.74
960.00,25.73
