Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Stearic Acid
Formula,C18H36O2
Molecular Weight (g/mol),284.473
Sample Weight (g),1.0777
Water Temp (deg C),24.40
Room Temp (deg C),25.16
Water Volume (L),2.0
Wire Before (g),0.025
Wire After (g),0.022
=====,=====
Time (s),Temperature (C)
0.00,24.40
30.00,24.42
60.00,24.41
90.00,24.39
120.00,24.40
150.00,24.40
180.00,24.40
210.00,24.38
240.00,24.39
270.00,24.41
300.00,24.41
330.00,25.25
360.00,26.54
390.00,27.47
420.00,28.05
450.00,28.37
480.00,28.53
510.00,28.64
540.00,28.67
570.00,28.72
600.00,28.73
630.00,28.71
660.00,28.71
690.00,28.73
720.00,28.74
750.00,28.70
780.00,28.71
810.00,28.70
840.00,28.72
870.00,28.70
900.00,28.71
930.00,28.70
960.00,28.69
