Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),1.0692
Water Temp (deg C),24.10
Room Temp (deg C),25.64
Water Volume (L),2.0
Wire Before (g),0.028
Wire After (g),0.020
=====,=====
Time (s),Temperature (C)
0.00,24.10
30.00,24.08
60.00,24.11
90.00,24.09
120.00,24.12
150.00,24.12
180.00,24.09
210.00,24.12
240.00,24.10
270.00,24.10
300.00,24.11
330.00,24.69
360.00,25.54
390.00,26.14
420.00,26.55
450.00,26.74
480.00,26.84
510.00,26.92
540.00,26.95
570.00,26.97
600.00,26.97
630.00,26.99
660.00,26.98
690.00,26.99
720.00,26.98
750.00,26.97
780.00,26.96
810.00,26.99
840.00,26.97
870.00,26.97
900.00,26.95
930.00,26.99
960.00,26.97
