Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Maleic Acid
Formula,C4H4O4
Molecular Weight (g/mol),116.052
Sample Weight (g),1.0605
Water Temp (deg C),24.40
Room Temp (deg C),22.61
Water Volume (L),2.0
Wire Before (g),0.025
Wire After (g),0.023
=====,=====
Time (s),Temperature (C)
0.00,24.40
30.00,24.40
60.00,24.42
90.00,24.41
120.00,24.39
150.00,24.41
180.00,24.39
210.00,24.38
240.00,24.40
270.00,24.41
300.00,24.38
330.00,24.62
360.00,25.03
390.00,25.29
420.00,25.45
450.00,25.54
480.00,25.61
510.00,25.60
540.00,25.63
570.00,25.64
600.00,25.63
630.00,25.65
660.00,25.62
690.00,25.65
720.00,25.62
750.00,25.64
780.00,25.64
810.00,25.62
840.00,25.62
870.00,25.61
900.00,25.62
930.00,25.62
960.00,25.63
