Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),0.9410
Water Temp (deg C),24.30
Room Temp (deg C),22.23
Water Volume (L),2.0
Wire Before (g),0.029
Wire After (g),0.019
=====,=====
Time (s),Temperature (C)
0.00,24.30
30.00,24.30
60.00,24.28
90.00,24.27
120.00,24.28
150.00,24.31
180.00,24.30
210.00,24.30
240.00,24.28
270.00,24.29
300.00,24.27
330.00,24.76
360.00,25.54
390.00,26.06
420.00,26.39
450.00,26.60
480.00,26.70
510.00,26.74
540.00,26.78
570.00,26.76
600.00,26.77
630.00,26.79
660.00,26.79
690.00,26.78
720.00,26.79
750.00,26.79
780.00,26.78
810.00,26.79
840.00,26.78
870.00,26.76
900.00,26.79
930.00,26.78
960.00,26.76
