Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Stearic Acid
Formula,C18H36O2
Molecular Weight (g/mol),284.473
Sample Weight (g),1.0700
Water Temp (deg C),24.30
Room Temp (deg C),23.49
Water Volume (L),2.0
Wire Before (g),0.024
Wire After (g),0.015
=====,=====
Time (s),Temperature (C)
0.00,24.30
30.00,24.28
60.00,24.30
90.00,24.31
120.00,24.31
150.00,24.28
180.00,24.31
210.00,24.31
240.00,24.29
270.00,24.29
300.00,24.31
330.00,25.14
360.00,26.42
390.00,27.36
420.00,27.91
450.00,28.24
480.00,28.40
510.00,28.49
540.00,28.54
570.00,28.57
600.00,28.57
630.00,28.59
660.00,28.58
690.00,28.59
720.00,28.58
750.00,28.56
780.00,28.56
810.00,28.58
840.00,28.56
870.00,28.54
900.00,28.54
930.00,28.55
960.00,28.53
