Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Palmitic Acid
Formula,C16H32O2
Molecular Weight (g/mol),256.419
Sample Weight (g),1.0388
Water Temp (deg C),24.40
Room Temp (deg C),25.41
Water Volume (L),2.0
Wire Before (g),0.022
Wire After (g),0.015
=====,=====
Time (s),Temperature (C)
0.00,24.40
30.00,24.39
60.00,24.40
90.00,24.41
120.00,24.42
150.00,24.41
180.00,24.39
210.00,24.42
240.00,24.40
270.00,24.39
300.00,24.40
330.00,25.22
360.00,26.46
390.00,27.34
420.00,27.87
450.00,28.16
480.00,28.34
510.00,28.41
540.00,28.46
570.00,28.50
600.00,28.49
630.00,28.49
660.00,28.51
690.00,28.48
720.00,28.51
750.00,28.49
780.00,28.50
810.00,28.49
840.00,28.50
870.00,28.50
900.00,28.47
930.00,28.47
960.00,28.46
