Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Myristic Acid
Formula,C14H28O2
Molecular Weight (g/mol),228.365
Sample Weight (g),1.0824
Water Temp (deg C),24.10
Room Temp (deg C),22.88
Water Volume (L),2.0
Wire Before (g),0.026
Wire After (g),0.019
=====,=====
Time (s),Temperature (C)
0.00,24.10
30.00,24.09
60.00,24.11
90.00,24.08
120.00,24.11
150.00,24.11
180.00,24.11
210.00,24.09
240.00,24.08
270.00,24.10
300.00,24.09
330.00,24.93
360.00,26.16
390.00,27.06
420.00,27.60
450.00,27.89
480.00,28.08
510.00,28.16
540.00,28.19
570.00,28.22
600.00,28.24
630.00,28.26
660.00,28.25
690.00,28.25
720.00,28.25
750.00,28.22
780.00,28.22
810.00,28.24
840.00,28.25
870.00,28.22
900.00,28.21
930.00,28.22
960.00,28.21
