Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Lauric Acid
Formula,C12H24O2
Molecular Weight (g/mol),200.311
Sample Weight (g),0.9534
Water Temp (deg C),24.10
Room Temp (deg C),24.04
Water Volume (L),2.0
Wire Before (g),0.025
Wire After (g),0.017
=====,=====
Time (s),Temperature (C)
0.00,24.10
30.00,24.11
60.00,24.09
90.00,24.10
120.00,24.11
150.00,24.11
180.00,24.10
210.00,24.10
240.00,24.10
270.00,24.08
300.00,24.09
330.00,24.79
360.00,25.89
390.00,26.64
420.00,27.12
450.00,27.38
480.00,27.51
510.00,27.58
540.00,27.62
570.00,27.63
600.00,27.66
630.00,27.67
660.00,27.66
690.00,27.67
720.00,27.63
750.00,27.63
780.00,27.66
810.00,27.65
840.00,27.62
870.00,27.65
900.00,27.62
930.00,27.63
960.00,27.62
