Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Sucrose
Formula,C12H22O11
Molecular Weight (g/mol),342.241
Sample Weight (g),1.0386
Water Temp (deg C),24.10
Room Temp (deg C),24.51
Water Volume (L),2.0
Wire Before (g),0.021
Wire After (g),0.013
=====,=====
Time (s),Temperature (C)
0.00,24.10
30.00,24.11
60.00,24.09
90.00,24.12
120.00,24.09
150.00,24.09
180.00,24.12
210.00,24.09
240.00,24.12
270.00,24.09
300.00,24.10
330.00,24.46
360.00,24.95
390.00,25.35
420.00,25.59
450.00,25.70
480.00,25.77
510.00,25.79
540.00,25.83
570.00,25.85
600.00,25.83
630.00,25.85
660.00,25.85
690.00,25.86
720.00,25.83
750.00,25.83
780.00,25.85
810.00,25.82
840.00,25.84
870.00,25.85
900.00,25.82
930.00,25.82
960.00,25.85
