Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Naphthalene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),1.0786
Water Temp (deg C),24.10
Room Temp (deg C),24.31
Water Volume (L),2.0
Wire Before (g),0.022
Wire After (g),0.017
=====,=====
Time (s),Temperature (C)
0.00,24.10
30.00,24.08
60.00,24.10
90.00,24.11
120.00,24.09
150.00,24.09
180.00,24.09
210.00,24.11
240.00,24.11
270.00,24.09
300.00,24.11
330.00,24.96
360.00,26.27
390.00,27.21
420.00,27.79
450.00,28.14
480.00,28.31
510.00,28.40
540.00,28.43
570.00,28.47
600.00,28.48
630.00,28.50
660.00,28.47
690.00,28.48
720.00,28.48
750.00,28.49
780.00,28.47
810.00,28.49
840.00,28.47
870.00,28.47
900.00,28.45
930.00,28.47
960.00,28.48
