Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Capric Acid
Formula,C10H20O2
Molecular Weight (g/mol),172.257
Sample Weight (g),1.0136
Water Temp (deg C),24.10
Room Temp (deg C),22.12
Water Volume (L),2.0
Wire Before (g),0.021
Wire After (g),0.019
=====,=====
Time (s),Temperature (C)
0.00,24.10
30.00,24.11
60.00,24.10
90.00,24.10
120.00,24.07
150.00,24.09
180.00,24.10
210.00,24.07
240.00,24.10
270.00,24.07
300.00,24.07
330.00,24.80
360.00,25.89
390.00,26.65
420.00,27.14
450.00,27.38
480.00,27.55
510.00,27.60
540.00,27.66
570.00,27.69
600.00,27.67
630.00,27.67
660.00,27.69
690.00,27.69
720.00,27.68
750.00,27.67
780.00,27.69
810.00,27.68
840.00,27.67
870.00,27.65
900.00,27.67
930.00,27.66
960.00,27.67
