Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Maleic Acid
Formula,C4H4O4
Molecular Weight (g/mol),116.052
Sample Weight (g),0.9464
Water Temp (deg C),24.10
Room Temp (deg C),23.78
Water Volume (L),2.0
Wire Before (g),0.028
Wire After (g),0.022
=====,=====
Time (s),Temperature (C)
0.00,24.10
30.00,24.10
60.00,24.08
90.00,24.12
120.00,24.12
150.00,24.09
180.00,24.09
210.00,24.09
240.00,24.09
270.00,24.08
300.00,24.11
330.00,24.31
360.00,24.66
390.00,24.92
420.00,25.05
450.00,25.14
480.00,25.17
510.00,25.18
540.00,25.21
570.00,25.22
600.00,25.20
630.00,25.21
660.00,25.20
690.00,25.20
720.00,25.21
750.00,25.23
780.00,25.22
810.00,25.21
840.00,25.21
870.00,25.21
900.00,25.21
930.00,25.20
960.00,25.22
