Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,α-D-Galactose
Formula,C6H12O6
Molecular Weight (g/mol),180.126
Sample Weight (g),1.0603
Water Temp (deg C),24.20
Room Temp (deg C),25.41
Water Volume (L),2.0
Wire Before (g),0.028
Wire After (g),0.025
=====,=====
Time (s),Temperature (C)
0.00,24.20
30.00,24.20
60.00,24.18
90.00,24.20
120.00,24.20
150.00,24.21
180.00,24.18
210.00,24.20
240.00,24.21
270.00,24.21
300.00,24.20
330.00,24.55
360.00,25.04
390.00,25.40
420.00,25.64
450.00,25.76
480.00,25.83
510.00,25.84
540.00,25.87
570.00,25.88
600.00,25.89
630.00,25.89
660.00,25.89
690.00,25.89
720.00,25.90
750.00,25.88
780.00,25.91
810.00,25.87
840.00,25.88
870.00,25.90
900.00,25.89
930.00,25.90
960.00,25.89
