Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Lauric Acid
Formula,C12H24O2
Molecular Weight (g/mol),200.311
Sample Weight (g),1.0005
Water Temp (deg C),24.20
Room Temp (deg C),23.15
Water Volume (L),2.0
Wire Before (g),0.023
Wire After (g),0.018
=====,=====
Time (s),Temperature (C)
0.00,24.20
30.00,24.20
60.00,24.21
90.00,24.19
120.00,24.19
150.00,24.18
180.00,24.19
210.00,24.19
240.00,24.19
270.00,24.19
300.00,24.19
330.00,24.93
360.00,26.05
390.00,26.87
420.00,27.33
450.00,27.64
480.00,27.76
510.00,27.87
540.00,27.87
570.00,27.90
600.00,27.94
630.00,27.92
660.00,27.94
690.00,27.94
720.00,27.90
750.00,27.91
780.00,27.91
810.00,27.93
840.00,27.91
870.00,27.91
900.00,27.89
930.00,27.92
960.00,27.89
