Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Capric Acid
Formula,C10H20O2
Molecular Weight (g/mol),172.257
Sample Weight (g),0.9942
Water Temp (deg C),24.40
Room Temp (deg C),23.36
Water Volume (L),2.0
Wire Before (g),0.027
Wire After (g),0.025
=====,=====
Time (s),Temperature (C)
0.00,24.40
30.00,24.42
60.00,24.41
90.00,24.41
120.00,24.38
150.00,24.37
180.00,24.38
210.00,24.38
240.00,24.41
270.00,24.40
300.00,24.38
330.00,25.09
360.00,26.15
390.00,26.94
420.00,27.40
450.00,27.66
480.00,27.77
510.00,27.86
540.00,27.90
570.00,27.92
600.00,27.94
630.00,27.91
660.00,27.93
690.00,27.92
720.00,27.94
750.00,27.92
780.00,27.93
810.00,27.93
840.00,27.90
870.00,27.93
900.00,27.91
930.00,27.90
960.00,27.91
