Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Sucrose
Formula,C12H22O11
Molecular Weight (g/mol),342.241
Sample Weight (g),0.9172
Water Temp (deg C),24.30
Room Temp (deg C),22.09
Water Volume (L),2.0
Wire Before (g),0.030
Wire After (g),0.027
=====,=====
Time (s),Temperature (C)
0.00,24.30
30.00,24.29
60.00,24.31
90.00,24.28
120.00,24.29
150.00,24.28
180.00,24.28
210.00,24.28
240.00,24.30
270.00,24.28
300.00,24.28
330.00,24.57
360.00,25.03
390.00,25.35
420.00,25.57
450.00,25.68
480.00,25.74
510.00,25.77
540.00,25.79
570.00,25.79
600.00,25.78
630.00,25.82
660.00,25.78
690.00,25.81
720.00,25.79
750.00,25.78
780.00,25.79
810.00,25.79
840.00,25.77
870.00,25.77
900.00,25.78
930.00,25.78
960.00,25.79
