Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),0.9025
Water Temp (deg C),24.20
Room Temp (deg C),23.53
Water Volume (L),2.0
Wire Before (g),0.029
Wire After (g),0.023
=====,=====
Time (s),Temperature (C)
0.00,24.20
30.00,24.18
60.00,24.20
90.00,24.18
120.00,24.19
150.00,24.22
180.00,24.19
210.00,24.19
240.00,24.22
270.00,24.19
300.00,24.22
330.00,24.69
360.00,25.40
390.00,25.92
420.00,26.26
450.00,26.43
480.00,26.51
510.00,26.59
540.00,26.61
570.00,26.61
600.00,26.59
630.00,26.63
660.00,26.62
690.00,26.61
720.00,26.61
750.00,26.62
780.00,26.60
810.00,26.59
840.00,26.59
870.00,26.61
900.00,26.62
930.00,26.59
960.00,26.59
