Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Capric Acid
Formula,C10H20O2
Molecular Weight (g/mol),172.257
Sample Weight (g),0.9985
Water Temp (deg C),24.40
Room Temp (deg C),23.97
Water Volume (L),2.0
Wire Before (g),0.024
Wire After (g),0.018
=====,=====
Time (s),Temperature (C)
0.00,24.40
30.00,24.40
60.00,24.40
90.00,24.41
120.00,24.39
150.00,24.38
180.00,24.38
210.00,24.39
240.00,24.38
270.00,24.38
300.00,24.40
330.00,25.09
360.00,26.16
390.00,26.93
420.00,27.41
450.00,27.66
480.00,27.79
510.00,27.89
540.00,27.92
570.00,27.95
600.00,27.93
630.00,27.93
660.00,27.96
690.00,27.93
720.00,27.96
750.00,27.95
780.00,27.94
810.00,27.95
840.00,27.92
870.00,27.92
900.00,27.91
930.00,27.93
960.00,27.91
