Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Maleic Acid
Formula,C4H4O4
Molecular Weight (g/mol),116.052
Sample Weight (g),1.0768
Water Temp (deg C),24.40
Room Temp (deg C),25.14
Water Volume (L),2.0
Wire Before (g),0.026
Wire After (g),0.022
=====,=====
Time (s),Temperature (C)
0.00,24.40
30.00,24.40
60.00,24.40
90.00,24.40
120.00,24.40
150.00,24.40
180.00,24.38
210.00,24.41
240.00,24.40
270.00,24.39
300.00,24.43
330.00,24.64
360.00,25.05
390.00,25.30
420.00,25.48
450.00,25.57
480.00,25.63
510.00,25.66
540.00,25.67
570.00,25.69
600.00,25.69
630.00,25.67
660.00,25.70
690.00,25.71
720.00,25.69
750.00,25.69
780.00,25.67
810.00,25.69
840.00,25.68
870.00,25.70
900.00,25.70
930.00,25.70
960.00,25.69
