Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,α-D-Glucose
Formula,C6H12O6
Molecular Weight (g/mol),180.126
Sample Weight (g),0.9750
Water Temp (deg C),24.40
Room Temp (deg C),25.23
Water Volume (L),2.0
Wire Before (g),0.026
Wire After (g),0.021
=====,=====
Time (s),Temperature (C)
0.00,24.40
30.00,24.40
60.00,24.40
90.00,24.42
120.00,24.41
150.00,24.42
180.00,24.41
210.00,24.41
240.00,24.41
270.00,24.40
300.00,24.40
330.00,24.72
360.00,25.15
390.00,25.52
420.00,25.70
450.00,25.84
480.00,25.86
510.00,25.90
540.00,25.94
570.00,25.95
600.00,25.96
630.00,25.96
660.00,25.96
690.00,25.96
720.00,25.94
750.00,25.95
780.00,25.95
810.00,25.93
840.00,25.94
870.00,25.92
900.00,25.95
930.00,25.93
960.00,25.94
