Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Palmitic Acid
Formula,C16H32O2
Molecular Weight (g/mol),256.419
Sample Weight (g),1.0359
Water Temp (deg C),24.10
Room Temp (deg C),24.93
Water Volume (L),2.0
Wire Before (g),0.029
Wire After (g),0.025
=====,=====
Time (s),Temperature (C)
0.00,24.10
30.00,24.09
60.00,24.11
90.00,24.12
120.00,24.10
150.00,24.11
180.00,24.10
210.00,24.09
240.00,24.11
270.00,24.12
300.00,24.11
330.00,24.91
360.00,26.12
390.00,27.00
420.00,27.54
450.00,27.86
480.00,28.03
510.00,28.09
540.00,28.13
570.00,28.15
600.00,28.19
630.00,28.17
660.00,28.17
690.00,28.17
720.00,28.17
750.00,28.16
780.00,28.19
810.00,28.19
840.00,28.18
870.00,28.17
900.00,28.17
930.00,28.14
960.00,28.17
