Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Lauric Acid
Formula,C12H24O2
Molecular Weight (g/mol),200.311
Sample Weight (g),1.0409
Water Temp (deg C),24.20
Room Temp (deg C),25.17
Water Volume (L),2.0
Wire Before (g),0.021
Wire After (g),0.014
=====,=====
Time (s),Temperature (C)
0.00,24.20
30.00,24.18
60.00,24.19
90.00,24.21
120.00,24.20
150.00,24.19
180.00,24.22
210.00,24.21
240.00,24.21
270.00,24.19
300.00,24.22
330.00,24.99
360.00,26.16
390.00,26.99
420.00,27.51
450.00,27.79
480.00,27.92
510.00,28.03
540.00,28.05
570.00,28.08
600.00,28.09
630.00,28.10
660.00,28.11
690.00,28.09
720.00,28.08
750.00,28.10
780.00,28.07
810.00,28.09
840.00,28.07
870.00,28.10
900.00,28.07
930.00,28.07
960.00,28.10
