Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Sucrose
Formula,C12H22O11
Molecular Weight (g/mol),342.241
Sample Weight (g),0.9579
Water Temp (deg C),24.40
Room Temp (deg C),24.56
Water Volume (L),2.0
Wire Before (g),0.023
Wire After (g),0.014
=====,=====
Time (s),Temperature (C)
0.00,24.40
30.00,24.42
60.00,24.41
90.00,24.40
120.00,24.40
150.00,24.38
180.00,24.39
210.00,24.41
240.00,24.40
270.00,24.41
300.00,24.40
330.00,24.74
360.00,25.21
390.00,25.55
420.00,25.75
450.00,25.88
480.00,25.93
510.00,25.97
540.00,25.99
570.00,26.02
600.00,26.01
630.00,26.03
660.00,26.02
690.00,26.01
720.00,26.01
750.00,26.01
780.00,26.03
810.00,26.03
840.00,26.00
870.00,25.99
900.00,26.00
930.00,26.02
960.00,26.02
