Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Stearic Acid
Formula,C18H36O2
Molecular Weight (g/mol),284.473
Sample Weight (g),0.9985
Water Temp (deg C),24.10
Room Temp (deg C),24.28
Water Volume (L),2.0
Wire Before (g),0.026
Wire After (g),0.018
=====,=====
Time (s),Temperature (C)
0.00,24.10
30.00,24.10
60.00,24.12
90.00,24.11
120.00,24.11
150.00,24.11
180.00,24.12
210.00,24.12
240.00,24.09
270.00,24.11
300.00,24.09
330.00,24.91
360.00,26.09
390.00,26.98
420.00,27.50
450.00,27.79
480.00,27.94
510.00,28.02
540.00,28.08
570.00,28.10
600.00,28.10
630.00,28.13
660.00,28.12
690.00,28.10
720.00,28.12
750.00,28.11
780.00,28.11
810.00,28.11
840.00,28.08
870.00,28.10
900.00,28.08
930.00,28.10
960.00,28.06
