Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Myristic Acid
Formula,C14H28O2
Molecular Weight (g/mol),228.365
Sample Weight (g),0.9434
Water Temp (deg C),24.30
Room Temp (deg C),24.80
Water Volume (L),2.0
Wire Before (g),0.025
Wire After (g),0.016
=====,=====
Time (s),Temperature (C)
0.00,24.30
30.00,24.32
60.00,24.28
90.00,24.30
120.00,24.29
150.00,24.28
180.00,24.30
210.00,24.30
240.00,24.30
270.00,24.30
300.00,24.29
330.00,25.03
360.00,26.11
390.00,26.91
420.00,27.36
450.00,27.64
480.00,27.79
510.00,27.86
540.00,27.91
570.00,27.91
600.00,27.92
630.00,27.93
660.00,27.96
690.00,27.94
720.00,27.94
750.00,27.95
780.00,27.94
810.00,27.93
840.00,27.91
870.00,27.91
900.00,27.91
930.00,27.91
960.00,27.93
