Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,α-D-Galactose
Formula,C6H12O6
Molecular Weight (g/mol),180.126
Sample Weight (g),0.9807
Water Temp (deg C),24.30
Room Temp (deg C),24.68
Water Volume (L),2.0
Wire Before (g),0.022
Wire After (g),0.016
=====,=====
Time (s),Temperature (C)
0.00,24.30
30.00,24.28
60.00,24.32
90.00,24.30
120.00,24.29
150.00,24.29
180.00,24.30
210.00,24.31
240.00,24.30
270.00,24.30
300.00,24.30
330.00,24.61
360.00,25.08
390.00,25.43
420.00,25.60
450.00,25.72
480.00,25.80
510.00,25.81
540.00,25.85
570.00,25.84
600.00,25.85
630.00,25.86
660.00,25.85
690.00,25.86
720.00,25.84
750.00,25.86
780.00,25.86
810.00,25.85
840.00,25.86
870.00,25.85
900.00,25.85
930.00,25.85
960.00,25.87
