Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Sucrose
Formula,C12H22O11
Molecular Weight (g/mol),342.241
Sample Weight (g),0.9978
Water Temp (deg C),24.40
Room Temp (deg C),22.21
Water Volume (L),2.0
Wire Before (g),0.029
Wire After (g),0.023
=====,=====
Time (s),Temperature (C)
0.00,24.40
30.00,24.38
60.00,24.42
90.00,24.41
120.00,24.39
150.00,24.39
180.00,24.40
210.00,24.40
240.00,24.37
270.00,24.37
300.00,24.39
330.00,24.71
360.00,25.20
390.00,25.56
420.00,25.77
450.00,25.91
480.00,25.97
510.00,26.00
540.00,26.01
570.00,26.02
600.00,26.03
630.00,26.03
660.00,26.03
690.00,26.02
720.00,26.02
750.00,26.02
780.00,26.04
810.00,26.03
840.00,26.03
870.00,26.02
900.00,26.00
930.00,26.04
960.00,26.02
