Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Azulene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),0.9477
Water Temp (deg C),24.30
Room Temp (deg C),24.79
Water Volume (L),2.0
Wire Before (g),0.020
Wire After (g),0.017
=====,=====
Time (s),Temperature (C)
0.00,24.30
30.00,24.28
60.00,24.30
90.00,24.31
120.00,24.29
150.00,24.31
180.00,24.31
210.00,24.31
240.00,24.30
270.00,24.30
300.00,24.29
330.00,25.10
360.00,26.28
390.00,27.13
420.00,27.65
450.00,27.93
480.00,28.08
510.00,28.18
540.00,28.24
570.00,28.24
600.00,28.25
630.00,28.26
660.00,28.25
690.00,28.27
720.00,28.25
750.00,28.25
780.00,28.27
810.00,28.26
840.00,28.27
870.00,28.27
900.00,28.25
930.00,28.24
960.00,28.23
