Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Azulene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),1.0110
Water Temp (deg C),24.40
Room Temp (deg C),23.77
Water Volume (L),2.0
Wire Before (g),0.025
Wire After (g),0.023
=====,=====
Time (s),Temperature (C)
0.00,24.40
30.00,24.39
60.00,24.39
90.00,24.39
120.00,24.38
150.00,24.39
180.00,24.40
210.00,24.39
240.00,24.38
270.00,24.38
300.00,24.40
330.00,25.23
360.00,26.51
390.00,27.40
420.00,27.95
450.00,28.27
480.00,28.43
510.00,28.52
540.00,28.60
570.00,28.60
600.00,28.61
630.00,28.62
660.00,28.63
690.00,28.63
720.00,28.61
750.00,28.62
780.00,28.59
810.00,28.60
840.00,28.58
870.00,28.61
900.00,28.61
930.00,28.59
960.00,28.59
