Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Naphthalene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),1.0206
Water Temp (deg C),24.30
Room Temp (deg C),25.74
Water Volume (L),2.0
Wire Before (g),0.024
Wire After (g),0.021
=====,=====
Time (s),Temperature (C)
0.00,24.30
30.00,24.31
60.00,24.31
90.00,24.29
120.00,24.30
150.00,24.28
180.00,24.32
210.00,24.30
240.00,24.29
270.00,24.30
300.00,24.30
330.00,25.15
360.00,26.36
390.00,27.27
420.00,27.84
450.00,28.12
480.00,28.29
510.00,28.40
540.00,28.45
570.00,28.44
600.00,28.46
630.00,28.48
660.00,28.46
690.00,28.48
720.00,28.47
750.00,28.48
780.00,28.46
810.00,28.48
840.00,28.45
870.00,28.48
900.00,28.48
930.00,28.48
960.00,28.48
