Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Palmitic Acid
Formula,C16H32O2
Molecular Weight (g/mol),256.419
Sample Weight (g),1.0574
Water Temp (deg C),24.30
Room Temp (deg C),24.64
Water Volume (L),2.0
Wire Before (g),0.028
Wire After (g),0.022
=====,=====
Time (s),Temperature (C)
0.00,24.30
30.00,24.31
60.00,24.28
90.00,24.30
120.00,24.31
150.00,24.31
180.00,24.30
210.00,24.31
240.00,24.29
270.00,24.28
300.00,24.32
330.00,25.14
360.00,26.36
390.00,27.28
420.00,27.82
450.00,28.12
480.00,28.31
510.00,28.39
540.00,28.43
570.00,28.46
600.00,28.46
630.00,28.44
660.00,28.46
690.00,28.48
720.00,28.44
750.00,28.45
780.00,28.45
810.00,28.46
840.00,28.43
870.00,28.46
900.00,28.44
930.00,28.47
960.00,28.44
