Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,α-D-Galactose
Formula,C6H12O6
Molecular Weight (g/mol),180.126
Sample Weight (g),1.0657
Water Temp (deg C),24.40
Room Temp (deg C),22.04
Water Volume (L),2.0
Wire Before (g),0.021
Wire After (g),0.016
=====,=====
Time (s),Temperature (C)
0.00,24.40
30.00,24.40
60.00,24.39
90.00,24.38
120.00,24.41
150.00,24.41
180.00,24.39
210.00,24.40
240.00,24.38
270.00,24.39
300.00,24.38
330.00,24.73
360.00,25.22
390.00,25.58
420.00,25.83
450.00,25.93
480.00,25.99
510.00,26.03
540.00,26.05
570.00,26.05
600.00,26.06
630.00,26.04
660.00,26.07
690.00,26.05
720.00,26.06
750.00,26.04
780.00,26.04
810.00,26.05
840.00,26.03
870.00,26.03
900.00,26.02
930.00,26.05
960.00,26.02
