Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Lauric Acid
Formula,C12H24O2
Molecular Weight (g/mol),200.311
Sample Weight (g),1.0427
Water Temp (deg C),24.10
Room Temp (deg C),23.33
Water Volume (L),2.0
Wire Before (g),0.027
Wire After (g),0.020
=====,=====
Time (s),Temperature (C)
0.00,24.10
30.00,24.11
60.00,24.12
90.00,24.11
120.00,24.08
150.00,24.08
180.00,24.08
210.00,24.09
240.00,24.08
270.00,24.09
300.00,24.09
330.00,24.85
360.00,26.05
390.00,26.85
420.00,27.38
450.00,27.66
480.00,27.82
510.00,27.89
540.00,27.92
570.00,27.95
600.00,27.95
630.00,27.96
660.00,27.99
690.00,27.97
720.00,27.98
750.00,27.95
780.00,27.96
810.00,27.94
840.00,27.93
870.00,27.96
900.00,27.94
930.00,27.93
960.00,27.94
