Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Myristic Acid
Formula,C14H28O2
Molecular Weight (g/mol),228.365
Sample Weight (g),1.0071
Water Temp (deg C),24.40
Room Temp (deg C),22.24
Water Volume (L),2.0
Wire Before (g),0.021
Wire After (g),0.013
=====,=====
Time (s),Temperature (C)
0.00,24.40
30.00,24.39
60.00,24.41
90.00,24.38
120.00,24.40
150.00,24.38
180.00,24.41
210.00,24.41
240.00,24.40
270.00,24.39
300.00,24.39
330.00,25.16
360.00,26.32
390.00,27.13
420.00,27.65
450.00,27.92
480.00,28.09
510.00,28.18
540.00,28.21
570.00,28.24
600.00,28.25
630.00,28.24
660.00,28.22
690.00,28.24
720.00,28.25
750.00,28.25
780.00,28.23
810.00,28.23
840.00,28.20
870.00,28.23
900.00,28.21
930.00,28.22
960.00,28.20
