Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Capric Acid
Formula,C10H20O2
Molecular Weight (g/mol),172.257
Sample Weight (g),0.9956
Water Temp (deg C),24.40
Room Temp (deg C),25.55
Water Volume (L),2.0
Wire Before (g),0.022
Wire After (g),0.020
=====,=====
Time (s),Temperature (C)
0.00,24.40
30.00,24.39
60.00,24.38
90.00,24.42
120.00,24.41
150.00,24.40
180.00,24.40
210.00,24.41
240.00,24.40
270.00,24.40
300.00,24.42
330.00,25.14
360.00,26.19
390.00,26.94
420.00,27.43
450.00,27.67
480.00,27.81
510.00,27.90
540.00,27.94
570.00,27.96
600.00,27.97
630.00,27.98
660.00,27.99
690.00,27.96
720.00,27.98
750.00,27.97
780.00,27.94
810.00,27.95
840.00,27.95
870.00,27.96
900.00,27.96
930.00,27.93
960.00,27.96
