Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Maleic Acid
Formula,C4H4O4
Molecular Weight (g/mol),116.052
Sample Weight (g),1.0953
Water Temp (deg C),24.10
Room Temp (deg C),25.18
Water Volume (L),2.0
Wire Before (g),0.021
Wire After (g),0.016
=====,=====
Time (s),Temperature (C)
0.00,24.10
30.00,24.08
60.00,24.10
90.00,24.10
120.00,24.09
150.00,24.12
180.00,24.09
210.00,24.12
240.00,24.09
270.00,24.10
300.00,24.10
330.00,24.35
360.00,24.75
390.00,25.05
420.00,25.20
450.00,25.31
480.00,25.37
510.00,25.36
540.00,25.42
570.00,25.39
600.00,25.39
630.00,25.41
660.00,25.40
690.00,25.42
720.00,25.40
750.00,25.39
780.00,25.41
810.00,25.40
840.00,25.42
870.00,25.42
900.00,25.42
930.00,25.39
960.00,25.42
