Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Stearic Acid
Formula,C18H36O2
Molecular Weight (g/mol),284.473
Sample Weight (g),1.0468
Water Temp (deg C),24.30
Room Temp (deg C),24.82
Water Volume (L),2.0
Wire Before (g),0.027
Wire After (g),0.020
=====,=====
Time (s),Temperature (C)
0.00,24.30
30.00,24.28
60.00,24.29
90.00,24.32
120.00,24.29
150.00,24.31
180.00,24.32
210.00,24.32
240.00,24.29
270.00,24.30
300.00,24.32
330.00,25.14
360.00,26.40
390.00,27.32
420.00,27.87
450.00,28.17
480.00,28.34
510.00,28.41
540.00,28.48
570.00,28.49
600.00,28.48
630.00,28.53
660.00,28.49
690.00,28.49
720.00,28.50
750.00,28.49
780.00,28.50
810.00,28.52
840.00,28.51
870.00,28.50
900.00,28.50
930.00,28.50
960.00,28.50
