Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,β-D-Fructose
Formula,C6H12O6
Molecular Weight (g/mol),180.126
Sample Weight (g),0.9534
Water Temp (deg C),24.10
Room Temp (deg C),22.15
Water Volume (L),2.0
Wire Before (g),0.022
Wire After (g),0.014
=====,=====
Time (s),Temperature (C)
0.00,24.10
30.00,24.11
60.00,24.09
90.00,24.08
120.00,24.09
150.00,24.10
180.00,24.09
210.00,24.11
240.00,24.09
270.00,24.09
300.00,24.08
330.00,24.38
360.00,24.84
390.00,25.18
420.00,25.35
450.00,25.46
480.00,25.52
510.00,25.57
540.00,25.57
570.00,25.60
600.00,25.61
630.00,25.60
660.00,25.61
690.00,25.60
720.00,25.58
750.00,25.58
780.00,25.59
810.00,25.59
840.00,25.59
870.00,25.55
900.00,25.56
930.00,25.56
960.00,25.57
