Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,β-D-Fructose
Formula,C6H12O6
Molecular Weight (g/mol),180.126
Sample Weight (g),1.0742
Water Temp (deg C),24.40
Room Temp (deg C),25.53
Water Volume (L),2.0
Wire Before (g),0.022
Wire After (g),0.017
=====,=====
Time (s),Temperature (C)
0.00,24.40
30.00,24.42
60.00,24.39
90.00,24.42
120.00,24.38
150.00,24.42
180.00,24.42
210.00,24.39
240.00,24.41
270.00,24.40
300.00,24.42
330.00,24.76
360.00,25.24
390.00,25.62
420.00,25.84
450.00,25.96
480.00,26.05
510.00,26.09
540.00,26.10
570.00,26.09
600.00,26.12
630.00,26.13
660.00,26.13
690.00,26.13
720.00,26.12
750.00,26.12
780.00,26.12
810.00,26.13
840.00,26.10
870.00,26.12
900.00,26.09
930.00,26.12
960.00,26.11
