Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Myristic Acid
Formula,C14H28O2
Molecular Weight (g/mol),228.365
Sample Weight (g),0.9754
Water Temp (deg C),24.30
Room Temp (deg C),23.96
Water Volume (L),2.0
Wire Before (g),0.025
Wire After (g),0.017
=====,=====
Time (s),Temperature (C)
0.00,24.30
30.00,24.30
60.00,24.28
90.00,24.29
120.00,24.29
150.00,24.30
180.00,24.29
210.00,24.29
240.00,24.29
270.00,24.27
300.00,24.29
330.00,25.02
360.00,26.16
390.00,26.96
420.00,27.45
450.00,27.71
480.00,27.89
510.00,27.94
540.00,28.00
570.00,28.01
600.00,28.02
630.00,28.03
660.00,28.02
690.00,28.03
720.00,28.04
750.00,28.04
780.00,28.02
810.00,28.03
840.00,28.03
870.00,28.03
900.00,28.03
930.00,28.01
960.00,28.03
