Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Palmitic Acid
Formula,C16H32O2
Molecular Weight (g/mol),256.419
Sample Weight (g),1.0910
Water Temp (deg C),24.20
Room Temp (deg C),25.12
Water Volume (L),2.0
Wire Before (g),0.021
Wire After (g),0.012
=====,=====
Time (s),Temperature (C)
0.00,24.20
30.00,24.20
60.00,24.20
90.00,24.21
120.00,24.21
150.00,24.18
180.00,24.21
210.00,24.21
240.00,24.21
270.00,24.20
300.00,24.18
330.00,25.07
360.00,26.33
390.00,27.28
420.00,27.84
450.00,28.15
480.00,28.31
510.00,28.40
540.00,28.48
570.00,28.48
600.00,28.51
630.00,28.51
660.00,28.51
690.00,28.49
720.00,28.50
750.00,28.51
780.00,28.48
810.00,28.51
840.00,28.50
870.00,28.49
900.00,28.47
930.00,28.49
960.00,28.48
