Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Fumaric Acid
Formula,C4H4O4
Molecular Weight (g/mol),116.052
Sample Weight (g),0.9302
Water Temp (deg C),24.20
Room Temp (deg C),24.19
Water Volume (L),2.0
Wire Before (g),0.023
Wire After (g),0.020
=====,=====
Time (s),Temperature (C)
0.00,24.20
30.00,24.22
60.00,24.20
90.00,24.21
120.00,24.21
150.00,24.21
180.00,24.20
210.00,24.20
240.00,24.20
270.00,24.21
300.00,24.18
330.00,24.40
360.00,24.74
390.00,24.99
420.00,25.10
450.00,25.20
480.00,25.25
510.00,25.26
540.00,25.28
570.00,25.26
600.00,25.28
630.00,25.26
660.00,25.28
690.00,25.26
720.00,25.28
750.00,25.27
780.00,25.26
810.00,25.26
840.00,25.27
870.00,25.26
900.00,25.29
930.00,25.27
960.00,25.26
