Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Azulene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),0.9624
Water Temp (deg C),24.10
Room Temp (deg C),24.52
Water Volume (L),2.0
Wire Before (g),0.025
Wire After (g),0.015
=====,=====
Time (s),Temperature (C)
0.00,24.10
30.00,24.08
60.00,24.09
90.00,24.08
120.00,24.09
150.00,24.10
180.00,24.09
210.00,24.11
240.00,24.10
270.00,24.09
300.00,24.12
330.00,24.88
360.00,26.09
390.00,26.96
420.00,27.50
450.00,27.79
480.00,27.97
510.00,28.03
540.00,28.10
570.00,28.11
600.00,28.14
630.00,28.12
660.00,28.11
690.00,28.12
720.00,28.11
750.00,28.10
780.00,28.10
810.00,28.13
840.00,28.12
870.00,28.10
900.00,28.10
930.00,28.10
960.00,28.12
