Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,α-D-Galactose
Formula,C6H12O6
Molecular Weight (g/mol),180.126
Sample Weight (g),1.0642
Water Temp (deg C),24.10
Room Temp (deg C),24.67
Water Volume (L),2.0
Wire Before (g),0.027
Wire After (g),0.018
=====,=====
Time (s),Temperature (C)
0.00,24.10
30.00,24.09
60.00,24.09
90.00,24.12
120.00,24.10
150.00,24.09
180.00,24.10
210.00,24.12
240.00,24.08
270.00,24.10
300.00,24.11
330.00,24.43
360.00,24.94
390.00,25.31
420.00,25.54
450.00,25.65
480.00,25.71
510.00,25.77
540.00,25.76
570.00,25.77
600.00,25.78
630.00,25.78
660.00,25.80
690.00,25.80
720.00,25.78
750.00,25.77
780.00,25.77
810.00,25.78
840.00,25.80
870.00,25.80
900.00,25.77
930.00,25.78
960.00,25.77
