Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Stearic Acid
Formula,C18H36O2
Molecular Weight (g/mol),284.473
Sample Weight (g),0.9498
Water Temp (deg C),24.10
Room Temp (deg C),23.85
Water Volume (L),2.0
Wire Before (g),0.023
Wire After (g),0.016
=====,=====
Time (s),Temperature (C)
0.00,24.10
30.00,24.11
60.00,24.09
90.00,24.09
120.00,24.10
150.00,24.10
180.00,24.12
210.00,24.11
240.00,24.11
270.00,24.11
300.00,24.10
330.00,24.86
360.00,26.01
390.00,26.85
420.00,27.34
450.00,27.61
480.00,27.78
510.00,27.82
540.00,27.89
570.00,27.90
600.00,27.90
630.00,27.91
660.00,27.90
690.00,27.93
720.00,27.93
750.00,27.92
780.00,27.91
810.00,27.89
840.00,27.90
870.00,27.91
900.00,27.87
930.00,27.90
960.00,27.88
