Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Fumaric Acid
Formula,C4H4O4
Molecular Weight (g/mol),116.052
Sample Weight (g),0.9332
Water Temp (deg C),24.20
Room Temp (deg C),22.89
Water Volume (L),2.0
Wire Before (g),0.028
Wire After (g),0.024
=====,=====
Time (s),Temperature (C)
0.00,24.20
30.00,24.19
60.00,24.20
90.00,24.19
120.00,24.22
150.00,24.20
180.00,24.18
210.00,24.18
240.00,24.19
270.00,24.18
300.00,24.19
330.00,24.41
360.00,24.74
390.00,24.95
420.00,25.09
450.00,25.17
480.00,25.24
510.00,25.24
540.00,25.28
570.00,25.28
600.00,25.27
630.00,25.26
660.00,25.27
690.00,25.27
720.00,25.25
750.00,25.27
780.00,25.25
810.00,25.24
840.00,25.27
870.00,25.25
900.00,25.26
930.00,25.27
960.00,25.26
