Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,α-D-Glucose
Formula,C6H12O6
Molecular Weight (g/mol),180.126
Sample Weight (g),1.0138
Water Temp (deg C),24.40
Room Temp (deg C),23.09
Water Volume (L),2.0
Wire Before (g),0.022
Wire After (g),0.020
=====,=====
Time (s),Temperature (C)
0.00,24.40
30.00,24.39
60.00,24.42
90.00,24.40
120.00,24.38
150.00,24.40
180.00,24.42
210.00,24.39
240.00,24.40
270.00,24.38
300.00,24.37
330.00,24.73
360.00,25.18
390.00,25.53
420.00,25.74
450.00,25.85
480.00,25.92
510.00,25.95
540.00,25.98
570.00,25.97
600.00,25.97
630.00,25.98
660.00,25.97
690.00,25.98
720.00,25.98
750.00,25.97
780.00,25.98
810.00,25.97
840.00,25.95
870.00,25.97
900.00,25.95
930.00,25.94
960.00,25.94
