Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Lauric Acid
Formula,C12H24O2
Molecular Weight (g/mol),200.311
Sample Weight (g),1.0086
Water Temp (deg C),24.20
Room Temp (deg C),22.90
Water Volume (L),2.0
Wire Before (g),0.024
Wire After (g),0.019
=====,=====
Time (s),Temperature (C)
0.00,24.20
30.00,24.18
60.00,24.19
90.00,24.18
120.00,24.21
150.00,24.19
180.00,24.20
210.00,24.18
240.00,24.20
270.00,24.17
300.00,24.18
330.00,24.92
360.00,26.06
390.00,26.88
420.00,27.38
450.00,27.62
480.00,27.81
510.00,27.86
540.00,27.90
570.00,27.91
600.00,27.95
630.00,27.95
660.00,27.92
690.00,27.93
720.00,27.91
750.00,27.92
780.00,27.94
810.00,27.93
840.00,27.94
870.00,27.90
900.00,27.91
930.00,27.90
960.00,27.90
