Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Naphthalene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),0.9913
Water Temp (deg C),24.20
Room Temp (deg C),22.55
Water Volume (L),2.0
Wire Before (g),0.027
Wire After (g),0.020
=====,=====
Time (s),Temperature (C)
0.00,24.20
30.00,24.20
60.00,24.19
90.00,24.20
120.00,24.22
150.00,24.18
180.00,24.17
210.00,24.18
240.00,24.18
270.00,24.19
300.00,24.20
330.00,24.99
360.00,26.21
390.00,27.05
420.00,27.58
450.00,27.88
480.00,28.06
510.00,28.12
540.00,28.19
570.00,28.19
600.00,28.20
630.00,28.22
660.00,28.21
690.00,28.21
720.00,28.22
750.00,28.19
780.00,28.21
810.00,28.17
840.00,28.20
870.00,28.19
900.00,28.17
930.00,28.18
960.00,28.19
