Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Fumaric Acid
Formula,C4H4O4
Molecular Weight (g/mol),116.052
Sample Weight (g),0.9239
Water Temp (deg C),24.30
Room Temp (deg C),23.36
Water Volume (L),2.0
Wire Before (g),0.020
Wire After (g),0.016
=====,=====
Time (s),Temperature (C)
0.00,24.30
30.00,24.31
60.00,24.31
90.00,24.30
120.00,24.29
150.00,24.28
180.00,24.28
210.00,24.28
240.00,24.31
270.00,24.29
300.00,24.29
330.00,24.52
360.00,24.83
390.00,25.05
420.00,25.20
450.00,25.28
480.00,25.31
510.00,25.35
540.00,25.35
570.00,25.37
600.00,25.37
630.00,25.36
660.00,25.35
690.00,25.38
720.00,25.38
750.00,25.38
780.00,25.35
810.00,25.35
840.00,25.36
870.00,25.38
900.00,25.36
930.00,25.37
960.00,25.35
