Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Fumaric Acid
Formula,C4H4O4
Molecular Weight (g/mol),116.052
Sample Weight (g),0.9696
Water Temp (deg C),24.30
Room Temp (deg C),24.74
Water Volume (L),2.0
Wire Before (g),0.023
Wire After (g),0.019
=====,=====
Time (s),Temperature (C)
0.00,24.30
30.00,24.31
60.00,24.28
90.00,24.29
120.00,24.30
150.00,24.31
180.00,24.29
210.00,24.28
240.00,24.29
270.00,24.31
300.00,24.29
330.00,24.52
360.00,24.85
390.00,25.11
420.00,25.25
450.00,25.32
480.00,25.40
510.00,25.39
540.00,25.40
570.00,25.41
600.00,25.43
630.00,25.43
660.00,25.41
690.00,25.45
720.00,25.43
750.00,25.42
780.00,25.41
810.00,25.42
840.00,25.41
870.00,25.43
900.00,25.43
930.00,25.42
960.00,25.41
