Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Myristic Acid
Formula,C14H28O2
Molecular Weight (g/mol),228.365
Sample Weight (g),0.9833
Water Temp (deg C),24.30
Room Temp (deg C),25.31
Water Volume (L),2.0
Wire Before (g),0.028
Wire After (g),0.020
=====,=====
Time (s),Temperature (C)
0.00,24.30
30.00,24.28
60.00,24.30
90.00,24.31
120.00,24.29
150.00,24.29
180.00,24.30
210.00,24.30
240.00,24.33
270.00,24.30
300.00,24.30
330.00,25.05
360.00,26.19
390.00,27.01
420.00,27.50
450.00,27.77
480.00,27.93
510.00,28.02
540.00,28.07
570.00,28.10
600.00,28.09
630.00,28.08
660.00,28.10
690.00,28.12
720.00,28.09
750.00,28.11
780.00,28.09
810.00,28.08
840.00,28.08
870.00,28.08
900.00,28.09
930.00,28.07
960.00,28.08
