Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Stearic Acid
Formula,C18H36O2
Molecular Weight (g/mol),284.473
Sample Weight (g),0.9746
Water Temp (deg C),24.20
Room Temp (deg C),24.58
Water Volume (L),2.0
Wire Before (g),0.026
Wire After (g),0.020
=====,=====
Time (s),Temperature (C)
0.00,24.20
30.00,24.21
60.00,24.19
90.00,24.20
120.00,24.22
150.00,24.20
180.00,24.20
210.00,24.20
240.00,24.23
270.00,24.22
300.00,24.23
330.00,25.00
360.00,26.18
390.00,27.00
420.00,27.52
450.00,27.80
480.00,27.95
510.00,28.05
540.00,28.08
570.00,28.09
600.00,28.12
630.00,28.13
660.00,28.14
690.00,28.12
720.00,28.14
750.00,28.13
780.00,28.14
810.00,28.10
840.00,28.10
870.00,28.12
900.00,28.12
930.00,28.13
960.00,28.10
