Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Lauric Acid
Formula,C12H24O2
Molecular Weight (g/mol),200.311
Sample Weight (g),0.9332
Water Temp (deg C),24.20
Room Temp (deg C),24.94
Water Volume (L),2.0
Wire Before (g),0.023
Wire After (g),0.014
=====,=====
Time (s),Temperature (C)
0.00,24.20
30.00,24.19
60.00,24.20
90.00,24.21
120.00,24.21
150.00,24.20
180.00,24.21
210.00,24.22
240.00,24.22
270.00,24.22
300.00,24.21
330.00,24.91
360.00,25.93
390.00,26.68
420.00,27.15
450.00,27.41
480.00,27.54
510.00,27.61
540.00,27.65
570.00,27.68
600.00,27.68
630.00,27.69
660.00,27.69
690.00,27.70
720.00,27.70
750.00,27.67
780.00,27.68
810.00,27.68
840.00,27.69
870.00,27.66
900.00,27.67
930.00,27.67
960.00,27.65
