Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),0.9524
Water Temp (deg C),24.20
Room Temp (deg C),22.70
Water Volume (L),2.0
Wire Before (g),0.026
Wire After (g),0.024
=====,=====
Time (s),Temperature (C)
0.00,24.20
30.00,24.18
60.00,24.20
90.00,24.20
120.00,24.21
150.00,24.19
180.00,24.20
210.00,24.18
240.00,24.18
270.00,24.20
300.00,24.20
330.00,24.70
360.00,25.44
390.00,26.00
420.00,26.34
450.00,26.52
480.00,26.62
510.00,26.66
540.00,26.72
570.00,26.72
600.00,26.73
630.00,26.74
660.00,26.72
690.00,26.72
720.00,26.71
750.00,26.73
780.00,26.71
810.00,26.72
840.00,26.72
870.00,26.70
900.00,26.71
930.00,26.72
960.00,26.70
