Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Fumaric Acid
Formula,C4H4O4
Molecular Weight (g/mol),116.052
Sample Weight (g),1.0366
Water Temp (deg C),24.10
Room Temp (deg C),22.07
Water Volume (L),2.0
Wire Before (g),0.022
Wire After (g),0.013
=====,=====
Time (s),Temperature (C)
0.00,24.10
30.00,24.09
60.00,24.11
90.00,24.10
120.00,24.11
150.00,24.09
180.00,24.08
210.00,24.08
240.00,24.10
270.00,24.10
300.00,24.08
330.00,24.31
360.00,24.68
390.00,24.95
420.00,25.13
450.00,25.18
480.00,25.24
510.00,25.25
540.00,25.27
570.00,25.30
600.00,25.28
630.00,25.29
660.00,25.31
690.00,25.27
720.00,25.29
750.00,25.26
780.00,25.27
810.00,25.27
840.00,25.29
870.00,25.28
900.00,25.27
930.00,25.28
960.00,25.27
