Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Naphthalene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),0.9794
Water Temp (deg C),24.20
Room Temp (deg C),25.02
Water Volume (L),2.0
Wire Before (g),0.029
Wire After (g),0.020
=====,=====
Time (s),Temperature (C)
0.00,24.20
30.00,24.20
60.00,24.19
90.00,24.22
120.00,24.20
150.00,24.19
180.00,24.18
210.00,24.20
240.00,24.20
270.00,24.20
300.00,24.21
330.00,25.02
360.00,26.22
390.00,27.08
420.00,27.58
450.00,27.88
480.00,28.04
510.00,28.13
540.00,28.18
570.00,28.17
600.00,28.20
630.00,28.19
660.00,28.22
690.00,28.22
720.00,28.22
750.00,28.22
780.00,28.22
810.00,28.22
840.00,28.20
870.00,28.19
900.00,28.21
930.00,28.17
960.00,28.19
