Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Capric Acid
Formula,C10H20O2
Molecular Weight (g/mol),172.257
Sample Weight (g),1.0375
Water Temp (deg C),24.10
Room Temp (deg C),22.34
Water Volume (L),2.0
Wire Before (g),0.025
Wire After (g),0.021
=====,=====
Time (s),Temperature (C)
0.00,24.10
30.00,24.12
60.00,24.11
90.00,24.10
120.00,24.11
150.00,24.09
180.00,24.10
210.00,24.09
240.00,24.09
270.00,24.09
300.00,24.08
330.00,24.84
360.00,25.93
390.00,26.74
420.00,27.23
450.00,27.47
480.00,27.64
510.00,27.70
540.00,27.76
570.00,27.75
600.00,27.76
630.00,27.80
660.00,27.79
690.00,27.76
720.00,27.76
750.00,27.78
780.00,27.76
810.00,27.78
840.00,27.75
870.00,27.77
900.00,27.74
930.00,27.73
960.00,27.76
