Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Lauric Acid
Formula,C12H24O2
Molecular Weight (g/mol),200.311
Sample Weight (g),0.9792
Water Temp (deg C),24.40
Room Temp (deg C),22.30
Water Volume (L),2.0
Wire Before (g),0.026
Wire After (g),0.019
=====,=====
Time (s),Temperature (C)
0.00,24.40
30.00,24.39
60.00,24.39
90.00,24.41
120.00,24.41
150.00,24.42
180.00,24.40
210.00,24.38
240.00,24.38
270.00,24.38
300.00,24.38
330.00,25.12
360.00,26.22
390.00,26.98
420.00,27.47
450.00,27.72
480.00,27.88
510.00,27.96
540.00,27.99
570.00,28.00
600.00,28.03
630.00,28.01
660.00,28.01
690.00,28.00
720.00,28.00
750.00,28.01
780.00,28.01
810.00,28.01
840.00,28.00
870.00,27.99
900.00,28.02
930.00,28.01
960.00,27.99
